user.screen_name,full_text,id
kryfke,"@AskAKorean Compare this to say... Youn Yuh-Jung's character in Minari, a character who is meant to embody an immigrant child's discomfort with his ""otherness."" Rather than making her EXTRA Korean, they made the inspired decision to make her a vehemently non-traditional grandma.",1381450854113419265
meeta,"“People talk about the story of immigration as one big happy tale. But in every immigrant’s story there is sadness, as well. The sadness of a country, a culture, a family left behind. A mother who would quietly weep at night, distant from the child she loved.” 💔 https://t.co/19rX2sQTEw",1381450707904126978
wendyck,@mkr_ultra would birb cake work? we got these from a local bakery for easter: https://t.co/KnFxH8aWVG,1381450679353438208
mark04markr,@skylarthegrate You don’t even know me and you’re calling me a racist. Like I said I bet you throw out the race card 20+ times a day by noon. It’s your only go to move. The irony of it all is that you’re the one who’s always talking about race,1381450675020775424
Mahnnazz5,"@yousef85059331 @SpeakerPelosi Diversity visa winners 2017-2020 denied by Muslim/African/Immigrant Bans should've been lawful permanent residents of US. A new bill like the one in 1998 will help them. Congress needs to act.
#I_Want_My_Miracle_Back 
#MuslimBan 
#NoBan
#DV2017-2020 https://t.co/TveTlsTrD6",1381450673787703297
txd0311,@SJW_Hoe Not too tired when you still have the energy to loot businesses who had nothing to do with anything.,1381450487568957440
IsVulva,@annaverahoog @bruceparker88 @HBO @hbomax He is not liked by SJW cancel culture,1381450405784260611
ermravana,"@alfredobake @Barbbziee they exposed their past messages on discord?? so it is considered exposing/calling em out

and idc if theyre starting stuff cuz shii is entertaining💀but he wanna go ahead and play the victim card nd call it ""homophobia"" which isn't the case",1381450363233054722
wicked_ninja123,@bellessnow @Starkun257 They literally referenced gamergate in the prison school dub. Just out nowhere for no reason. The rest of the show was great as far as a dub goes but god that was unnecessary.,1381450210900066306
BantusQuality,"@ttyg12233188 @AusNatKing @4YrsToday Boo hoo nigger, I  don't care",1381450140087693312
JoeSKLee,"@RaviSachidanand @nicolegelinas Be wary of misinformation on Yang.
See article: 
1. He is retweeting aspects of a bill SUPPORTED by a street vendor advocacy group.
2. The bill has enforcement in it, but does NOT involve NYPD. 
3. See his website for solutions to other weighty problems. 

https://t.co/8ry5ZWZrBK",1381450111495077888
_naswa_,@Black_American8 @ShannH4 So you’d prefer nigger?,1381450098622799873
SUNSHINETH0R,"“the hammer of the gods” part in the immigrant song 🧎🏻🧎🏻

that song was made for thor",1381450049851437067
whoisifey,shutup nigger boy https://t.co/XaMoNelwRb,1381449983015157760
Esquiring,@mkr_ultra Fresh out of actual birds but here's my best bird meme https://t.co/D9wJx07LLw,1381449948806344704
StuckWBrokeFolk,@CarmenGranddau1 That thing attacks everyone that isn't pale. She is a Lebanese immigrant version of those 2 women that sold their souls for Dump.,1381449931412627456
fakelies,"Immigrant or not, it's just plain common sense that everyone living in America receive the vaccine. Not vaccinating an immigrant puts at risk for catching the disease, all Americans who come in contact with a non-vaccinated immigrant. Think, people!

https://t.co/r7PJspqHI3",1381449899707920384
Tangerinememez,"@the_moviebob They could probably use this show to say why open borders is bad, but that probably takes too much thought. Gotta use the trusty old anti sjw bullshit",1381449885459869697
yespiperfoxx,Im finna expose this bitch for saying nigger!! Stay tuned!,1381449874349162496
aysun4justice,this is so anti-immigrant and against those people who are literally just scraping by... I can’t believe he’s running for mayor of NYC lol f this guy. https://t.co/6tbYgfKwTH,1381449824692809737
B0nB0nes,@fatsphoe They angered me so MUCHHH especially adrie trying to play the victim card AHHH,1381449802177785861
albert_celis1,"@DefenderOcheese The Lt. is the one responsible. Very simple order, get out of the car. Instead of owning the situation, he decided to use the race card, hiding behind the uniform. Just because you are in the army does not make you above the law. He's lawsuit will go nowhere.",1381449793243865088
NoteMartin,@ahmednasirlaw @WehliyeMohamed @makaumutua But the so called MKR won't him in the ballot. We know them,1381449769801891841
Anjali_MKR,"@LouisWTNews @Louis_Tomlinson We'll make it!

I vote #Louies for #BestFanArmy at the #iHeartAwards!",1381449758682701829
BuildWriters,techbro professor obsessed with mangoes from immigrant mothers and zines,1381449716412600321
hinduevola,"You just want to create hatred against the seat of Shankaracharya because it doesn't comply with your SJW standards 

You could have ignored it but it doesn't suit your propaganda, you'll be silent only when 'your' side is incriminated or questioned",1381449705637355520
SJW_Hoe,I see what’s happening back home in Brooklyn center. And i hve no words. I’m tired y’all. Me and my niggas are tired,1381449478306197504
AlexanderMcCoy4,"The US's anti-immigrant laws killed 100s of extra people in the sinking - people who would have filled up those unfilled lifeboat seats - unnecessarily.

As Climate Change accelerates, remember this when US politicians advocate for trying to keep desperate people locked in place.",1381449450321817601
KikiOeste,@nickitellem Y’all need to calm down and obey the law instead of exploiting the victim card,1381449390523514881
